Ciudades_Id,Ciudades_Nombre
268,SAN JOSE DPTO LAVALLE MENDOZA
269,LAS HERAS MENDOZA
270,TUNUYAN-MENDOZA
271,TUPUNGATO-MENDOZA
272,VISTA FLORES
273,SAN MARTIN MENDOZA
274,LOS BARRIALES MENDOZA
275,SAN RAFAEL MENDOZA SUC 1
276,CAP.MONTOYA/LAS PAREDES S.RAFA
277,CUADRO BENEGAS SAN RAFAEL MDZ
278,EL NIHUIL/LAS MALVINAS S RAFAE
279,CUADRO BOMBAL SAN RAFAEL MDZ
280,MONTE COMAN SAN RAFAEL MDZ
281,EL SOSNEADO SAN RAFAEL MDZ
282,MALARGUE SAN RAFAEL MDZ
283,LAS LENAS SAN RAFAEL MDZ (TEMP
284,GENERAL ALVEAR SAN RAFAEL MDZ
285,ATUEL NORTE SAN RAFAEL MDZ
286,REAL DEL PADRE SAN RAFAEL MDZ
287,BOWEL SAN RAFAEL MDZ
288,SAN LUIS
289,JUANA KOSLAY SAN LUIS
290,VILLA MERCEDES-SAN LUIS
291,VILLA REYNOLS-SAN LUIS
292,JUSTO DARACT SAN LUIS
293,LA TOMA VIEJA SAN LUIS
294,RIO CUARTO CORDOBA
295,CHARRAS - CORDOBA
296,GENERAL CABRERA-CORDOBA
297,LOS CONDORES CORDOBA
298,SAMPACHO-CORDOBA
299,ADELIA MARIA - CORDOBA
300,RIO TERCERO CORDOBA
301,ALMAFUERTE CORDOBA
302,EMBALSE CORDOBA
303,VILLA DOLORES-CORDOBA
304,YACANTO DTO SAN JAVIER - CORDO
305,MERLO SAN LUIS
306,MINA CLAVERO-CBA
307,LA PAMPA
308,VILLA MARIA-CORDOBA DPTO GRAL 
309,VILLA NUEVA-CORDOBA
310,ARROYO CABRAL CORDOBA
311,LAS PERDICES CORDOBA
312,DEHEZA GENERAL CORDOBA
313,FERREYRA CORDOBA PASCO D.SAN M
314,TIO PUJIO-CORDOBA
315,LAS VARILLAS CORDOBA
316,RIO SEGUNDO CORDOBA
317,VILLA DEL ROSARIO-CORDOBA
318,LUQUE CORDOBA
319,PILAR CORDOBA
320,OLIVA CORDOBA
321,ONCATIVO-CORDOBA
322,JUNIN BS AS
323,LOS TOLDOS BS.AS.
324,GENERAL PINTO BS AS
325,AMEGHINO BS AS
326,LINCOLN-BS.AS.
327,RUFINO- BS AS
328,LABOULAYE CORDOBA
329,GENERAL VILLEGAS BS AS
330,AMERICA - BS AS
331,SANTA ROSA-LA PAMPA
332,GENERAL PICO-LA PAMPA
333,TRENQUE LAUQUEN-BS AS
334,GARRE - BS AS
335,CARHUE-BS.AS.
336,PEHUAJO BS AS
337,HENDERSON BS AS
338,9 DE JULIO BS AS
339,CARLOS CASARES BS AS
340,BOLIVAR BS AS
341,MERCEDES - BS.AS.
342,SUIPACHA-BS AS
343,CHIVILCOY BS AS
344,ALBERTI BS AS
345,BRAGADO BS AS
346,25 DE MAYO-BS AS
347,NORBERTO DE LA RIESTRA
348,LUJAN
349,JAUREGUI BS AS
350,CORTINES-BS.AS.
351,CARMEN DE ARECO BS AS
352,CHACABUCO BS AS
353,TANDIL-BS AS SUC 1
354,BENITO JUAREZ-BS AS
355,DOLORES BS AS
356,SAN CLEMENTE DEL TUYU-BS AS
357,SANTA TERESITA BS AS
358,MAR DEL TUYU-BS.AS.
359,MAR DE AJO-BS.AS.
360,SAN BERNARDO-BS AS
361,PILA - BS AS
362,CHASCOMUS BS AS
363,AYACUCHO BS AS
364,MAIPU BS AS
365,VILLA GESELL-BS AS
366,PINAMAR BS AS
367,LAS FLORES BS AS
368,SALADILLO BS AS
369,GENERAL ALVEAR BS AS
370,AZUL BS AS
371,RAUCH / TAPALQUE BS AS
372,CHILLAR-BS.AS
373,OLAVARRIA BS AS
374,SIERRAS BAYAS-BS AS
375,GENERAL LA MADRID BS AS
376,TRES ARROYOS-BS AS
377,SAN CAYETANO-BS.AS.
378,CORONEL PRINGLES BS AS
379,CORONEL SUAREZ - BS AS
380,MAR DEL PLATA BS AS
381,BATAN MAR DEL PLATA
382,CHAPADMALAL
383,MIRAMAR BS AS
384,SANTA CLARA DEL MAR -MAR DEL P
385,BALCARCE BS AS
386,NECOCHEA BS AS
387,QUEQUEN BS AS
388,LOBERIA BS AS
389,LA DULCE-BS.AS.
390,BAHIA BLANCA/PUERTO GALVAN BS 
391,INGENIERO WHITE BS AS
392,PUNTA ALTA BS AS
393,PUERTO BELGRANO-BAHIA BLANCA
394,PEDRO LURO
395,CORONEL DORREGO BS AS
396,TORNQUIST-BS AS
397,SIERRA DE LA VENTANA-BS AS
398,PIGUE
399,BORDENAVE BS AS
400,GENERAL ACHA LA PAMPA
401,NEUQUEN
402,COLONIA VALENTINA NEUQUEN
403,CINCO SALTOS RIO NEGRO
404,PLOTTIER NEUQUEN
405,PLAZA HUINCUL NEUQUEN
406,RINCON DE LOS SAUCES-NEUQUEN
407,CUTRAL-CO NEUQUEN
408,CIPOLLETTI RIO NEGRO
409,ALLEN RIO NEGRO -BARILOCHE
410,GENERAL ROCA RIO NEGRO
411,VILLA REGINA-RIO NEGRO
412,ZAPALA/NEUQUEN
413,ANDACOLLO NEUQUEN
414,SAN MARTIN DE LOS ANDES NEUQUE
415,JUNIN DE LOS ANDES NEUQUEN
416,BARILOCHE RIO NEGRO
417,EL BOLSON RIO NEGRO
418,VIEDMA-RIO NEGRO
419,CARMEN DE PATAGONES BS AS
420,COMODORO RIVADAVIA CHUBUT
421,RADA TILLY CHUBUT
422,CALETA OLIVIA STA CRUZ
423,CANADON SECO STA CRUZ
424,PICO TRUNCADO STA CRUZ
425,LAS HERAS-SANTA CRUZ
426,PUERTO DESEADO STA CRUZ
427,TRELEW-CHUBUT
428,RAWSON CHUBUT
429,PUERTO MADRYN CHUBUT
430,ESQUEL CHUBUT
431,EL CALAFATE CHUBUT
432,TREVELLIN CHUBUT
433,EL HOYO CHUBUT
434,PUERTO STA CRUZ-SANTA CRUZ
435,EL CHALTEN
436,PUERTO SAN JULIAN STA CRUZ
437,RIO GALLEGOS  STA CRUZ
438,USHUAIA-TIERRA DEL FUEGO
439,RIO GRANDE TIERRA DEL FUEGO
440,PARAGUAY
441,MONTEVIDEO
442,MICROCENTRO
443,VILLA INSUPERABLE
444,VILLA DOMINICO
445,TORTUGUITAS
446,SAN MIGUEL
447,WILDE
