Guias_Fecha,y,ds
2022-02-20,1150.3,2022-02-20
2022-02-27,1458.3,2022-02-27
2022-03-06,1418.6,2022-03-06
2022-03-13,1398.5,2022-03-13
2022-03-20,1587.5,2022-03-20
2022-03-27,627.6,2022-03-27
2022-04-03,1688.0,2022-04-03
2022-04-10,1307.0,2022-04-10
2022-04-17,934.5,2022-04-17
2022-04-24,1481.0,2022-04-24
2022-05-01,2330.0,2022-05-01
2022-05-08,1226.0,2022-05-08
2022-05-15,1423.0,2022-05-15
2022-05-22,2127.9,2022-05-22
2022-05-29,1283.7,2022-05-29
2022-06-05,1683.8,2022-06-05
2022-06-12,1027.5,2022-06-12
2022-06-19,1077.5,2022-06-19
2022-06-26,2503.5,2022-06-26
2022-07-03,1530.0,2022-07-03
2022-07-10,451.0,2022-07-10
2022-07-17,1341.4,2022-07-17
2022-07-24,772.9,2022-07-24
2022-07-31,969.7,2022-07-31
2022-08-07,709.7,2022-08-07
2022-08-14,465.9,2022-08-14
2022-08-21,1026.85,2022-08-21
2022-08-28,1658.05,2022-08-28
2022-09-04,2050.55,2022-09-04
2022-09-11,436.0,2022-09-11
2022-09-18,485.0,2022-09-18
2022-09-25,463.0,2022-09-25
2022-10-02,225.0,2022-10-02
2022-10-09,401.0,2022-10-09
2022-10-16,384.0,2022-10-16
2022-10-23,402.0,2022-10-23
2022-10-30,496.0,2022-10-30
2022-11-06,446.8,2022-11-06
2022-11-13,634.9,2022-11-13
2022-11-20,366.8,2022-11-20
2022-11-27,351.2,2022-11-27
2022-12-04,458.5,2022-12-04
2022-12-11,285.5,2022-12-11
2022-12-18,391.0,2022-12-18
2022-12-25,317.0,2022-12-25
2023-01-01,237.0,2023-01-01
